_id,name,brand,product_category,image_url,product_url,ingredients
cd04826a-d99e-4f61-92c8-effa147094fd,All Nighter Waterproof Setting Powder,Urban Decay,Setting Spray & Powder,https://www.sephora.com/productimages/sku/s2081404-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/all-nighter-waterproof-setting-powder-P431455,"['Dimethicone', 'Nylon-12', 'Silica', 'Zinc Stearate', 'HDI/Trimethylol Hexyllactone Crosspolymer', 'Dimethiconol', 'Magnesium Myristate', 'Potassium Sorbate', 'Caprylyl Glycol', 'Phenoxyethanol', 'Lauroyl Lysine', 'Hexylene Glycol']"
fc252399-bc35-42cd-b222-aa30fc08640b,Intense Matte Lip + Cheek Pencil,NUDESTIX,Lipstick,https://www.sephora.com/productimages/sku/s1783794-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/intense-matte-lip-cheek-pencil-P405290,"['Dimethicone', 'Diisostearyl Malate', 'Synthetic Wax', 'Distarch Phosphate', 'Polybutene', 'Dimethicone/Vinyl Dimethicone Crosspolymer', 'Caprylyl Methicone', 'Dimethylimidazolidinone Rice Starch', 'Glyceryl Caprylate', 'Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', 'Silica', 'Isoceteth-10']"
74845406-8fe9-40ea-b8b8-2beb224ed70e,Curl Wow COCO-MOTION Lubricating Conditioner,COLOR WOW,Conditioner,https://www.sephora.com/productimages/sku/s2592335-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/curl-wow-coco-motion-lubricating-conditioner-P502281,"['Water/Aqua', 'Butylene Glycol', 'Stearyl Alcohol', 'Cetyl Alcohol', 'Ppg-3 Benzyl Ether Myristate', 'Cocos Nucifera (Coconut) Oil', 'Stearamidopropyl Dimethylamine', 'Coco-Caprylate/Caprate', 'Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate', 'Oryza Sativa (Rice) Bran Oil', 'C12-15 Alkyl Benzoate', 'Behentrimonium Methosulfate', 'Astrocaryum Murumuru Seed Butter', 'Cetearyl Alcohol', 'Polyquaternium-37', 'Sclerocarya Birrea Seed Oil', 'Dimer Dilinoleyl Dimer Dilinoleate', 'Glycerin', 'Phenoxyethanol', 'Citric Acid', 'Ceteareth-20', 'Caprylyl Glycol', 'Propylene Glycol Dicaprylate/Dicaprate', 'Fragrance/Parfum', 'Panthenol', 'Polyquaternium-7', 'Ppg-1 Trideceth-6', 'C10-40 Isoalkylamidopropylethyldimonium Ethosulfate', 'Disodium Edta', 'Sodium Benzoate', 'Dipropylene Glycol', 'Quaternium-33']"
5217f0fc-634a-446d-a02f-8eb8853478d7,Mini Lapis Blue Tansy Face Oil - For Oily & Acne-Prone Skin,Herbivore,Face Oils,https://www.sephora.com/productimages/sku/s2469062-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/herbivore-botanicals-mini-lapis-blue-tansy-face-oil-for-oily-acne-prone-skin-P479904,"['Squalane', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Caprylic/Capric Triglyceride', 'Aleurites Moluccanus Seed Oil', 'Tocopherol', 'Tanacetum Annuum Flower Oil', 'Jasminum Sambac (Jasmine) Flower Extract', 'Rosa Damascena Flower Extract']"
e0425ac0-f1d4-4903-a479-bf6b40d3bbb0,GRO Hair Serum for Thinning Hair,Vegamour,Hair Thinning & Hair Loss,https://www.sephora.com/productimages/sku/s2473064-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/vegamour-gro-hair-serum-for-thinning-hair-P473007,"['Polyglyceryl-10 Laurate', 'Caffeine', 'Curcuma Longa (Turmeric) Callus Conditioned Media', 'Citrus Bergamia Peel Oil Expressed', 'Sodium Phytate', 'Pentylene Glycol', 'Limonene', 'Citric Acid', '(Trifolium Pratense (Clover)/Vigna Radiata) Sprout Extract', 'Sodium Benzoate', 'Linalool', 'Lactic Acid', 'Potassium Sorbate', 'Sodium Hydroxide', 'Biotin', 'Alcohol', 'Phytic Acid', 'Citral', 'Oligopeptide-2', 'GlycoproteinsThe list of ingredients is subject to change', 'please consult the packaging of the product purchased']"
966d15b9-b4af-480b-adbc-d2b7ba71e116,Curl Moisturizing Shampoo,Bumble and bumble,Shampoo,https://www.sephora.com/productimages/sku/s2319697-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/bumble-bumble-curl-moisturizing-shampoo-P462834,"['Water\\Aqua\\Eau', 'Sodium Cocoyl Isethionate', 'Sodium Lauroyl Sarcosinate', 'Sodium Lauryl Sulfoacetate', 'Laureth-23', 'Coco-Betaine', 'Propanediol', 'Glycol Distearate', 'PEG-150 Distearate', 'Acrylates Copolymer', 'Sodium Methyl Cocoyl Taurate', 'Persea Gratissima (Avocado) Oil', 'Cocos Nucifera (Coconut) Oil', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Theobroma Cacao (Cocoa) Seed Butter', 'Butyrospermum Parkii (Shea) Butter', 'Tocopherol', 'Glycereth-26', 'Sodium PCA', 'Pantethine', 'Panthenyl Ethyl Ether', 'Sodium Hyaluronate', 'Octyldodecyl Citrate Crosspolymer', 'Decyl Glucoside', 'Polyquaternium-10', 'Polyquaternium-7', 'Butyl Methoxydibenzoylmethane', 'Ethylhexyl Salicylate', 'Ethylhexyl Methoxycinnamate', 'Citric Acid', 'Sodium Hydroxide', 'Butylene Glycol', 'Sodium Chloride', 'BHT', 'Fragrance (Parfum)', 'Limonene', 'Linalool', 'Sodium Benzoate', 'Potassium Sorbate', 'Phenoxyethanol &lt;ILN49238&gt;Please be aware that ingredient lists may change or vary from time to time']"
4ae9a740-ca91-4dda-8b83-b2cf5e51e14c,Futurist Skin Tint Serum Foundation SPF 20 with Glycerin,Est&#233;e Lauder,Foundation,https://www.sephora.com/productimages/sku/s2708774-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/futurist-skin-tint-serum-foundation-spf-20-P508183,"['8%', 'Water/Aqua/Eau', 'Trimethylolpropane Tricaprylate/Tricaprate', 'Glycerin', 'Butylene Glycol', 'Butyloctyl Salicylate', 'Caprylic/Capric Triglyceride', 'Silica', 'Polyglyceryl-10 Oleate', 'Bentonite', 'Saccharide Isomerate', 'Tocopheryl Acetate', 'Acetyl Glucosamine', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Glyceryl Hydrogenated Rosinate', 'Rosa Canina (Rose) Fruit Oil', 'Molasses Extract/Saccharum Officinarum/Extrait De Melasse', 'Yeast Extract/Faex/Extrait De Levure', 'Glycine Soja (Soybean) Oil', 'Propylene Glycol Dicaprate', 'Helianthus Annuus (Sunflower) Seed Extract', 'Glycine Soja (Soybean) Seed Extract', ""Hordeum Vulgare Extract/Extrait D'Orge"", 'Calendula Officinalis Flower Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Caprylyl Glycol', 'Cholesterol', 'Sodium Stearoyl Glutamate', 'Algin', 'Xanthan Gum', 'Sodium Chloride', 'Aluminum Hydroxide', 'Polyhydroxystearic Acid', 'BHT', 'Citric Acid', 'Sodium Citrate', 'Potassium Sorbate', 'Phenoxyethanol', '[+/- Titanium Dioxide (CI 77891)', 'Iron Oxides (CI 77491)', 'Iron Oxides (CI 77492)', 'Iron Oxides (CI 77499)]']"
2c60ed47-0127-45f4-914d-890d132f4f12,Precision Dual Ended Sculpting Brush,PATRICK TA,Face Brushes,https://www.sephora.com/productimages/sku/s2658045-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/precision-dual-ended-sculpting-brush-P504918,"['Cruelty-Free', 'Vegan', 'Synthetic Bristles / Fibers']"
826fb088-d1ab-42e7-b813-a2ee5f5170a5,Moisturizing Vegan Body Butter,Caudalie,Body Lotions & Body Oils,https://www.sephora.com/productimages/sku/s2534428-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/caudalie-moisturizing-vegan-body-butter-P481386,"['Aqua/Water/Eau', 'Butyrospermum Parkii (Shea) Butter Extract', 'Glycerin', 'Coco-Caprylate/Caprate', 'Vitis Vinifera (Grape) Seed Oil', 'C10-18 Triglycerides', 'Hexyldecyl Stearate', 'Isocetyl Stearate', 'Octyldodecyl Myristate', 'Sucrose Distearate', 'Sucrose Stearate', 'Balanites Roxburghii Seed Oil', 'Prunus Amygdalus Dulcis (Sweet Almond) Oil', 'Saccharide Isomerate', 'Polyacrylate Crosspolymer-6', 'Caprylyl Glycol', 'Ethylhexylglycerin', 'Potassium Sorbate', 'Xanthan Gum', 'Tocopherol', 'Helianthus Annuus (Sunflower) Seed Oil', 'Sodium Phytate', 'Citric Acid', 'Sodium Citrate', 'Parfum (Fragrance)']"
8fa1cee0-08a6-4d61-86fc-efd25103e65f,"Bond Repair Custom Conditioner Mask for Curly, Damaged Hair",Function of Beauty PRO,Conditioner,https://www.sephora.com/productimages/sku/s2706570-main-zoom.jpg?imwidth=465,https://www.sephora.com/product/function-of-beauty-pro-custom-recovery-conditioner-mask-for-curly-damaged-hair-P507576,"['Water (Aqua)', 'Cetearyl Alcohol', 'C13-15 Alkane', 'Cetyl Alcohol', 'Cocos Nucifera (Coconut) Oil', 'Dimethicone', 'Isopentydiol', 'Arachidyl/Behenyl Alcohol', 'Cetyl Esters', 'Quaternium-37', 'Glyceryl Ricinoleate', 'Fragrance (Parfum)', 'Raphanus Sativus (Radish) Extract', 'Mangifera Indica (Mango) Seed Butter', 'Arginine', 'Panthenol (Provitamin B5)', 'Ricinus Communis (Castor) Seed Oil', 'Linum Usitatissimum (Linseed) Seed Extract', 'Salvia Hispanica (Chia) Seed Extract', 'Helianthus Annuus (Sunflower) Seed Oil', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Aspartic Acid', 'Pca', 'Glycine', 'Serine', 'Valine', 'Isoleucine', 'Proline', 'Threonine', 'Benzyl Alcohol', 'Behentrimonium Chloride', 'Amodimethicone', 'Aracchidyl/Behenyl Betainate Esylate', 'Polyquaternium-73', 'Propylene Glycol Dicaprylate/Dicaprate', 'Peg-100 Stearate', 'Propylene Glycol', 'Glyceryl Distearate', 'Glyceryl Monostearate', 'Itaconic Acid', 'Ppg-1 Trideceth-6', 'Disodium Edta', 'Ethylhexylglycerin', 'Polyglyceryl-10 Laurate', 'Glycerin', 'Propanediol', 'Acrylates/Stearyl Methacrylate Copolymer', 'Sodium Pca', 'Sorbitan Oleate', 'Isopropyl Alcohol', 'Sodium Lactate', 'Citric Acid', 'Caprylic Acid', 'Xylitol', 'Aminomethyl Propanol', 'Tocopherol', 'Alanine', 'Tetrasodium Edta', 'Histidine', 'Phenylalanine', 'Benzyl Salicylate', 'Citronellol', 'Geraniol', 'Linalool']"
